"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","NLNBSECTOR","TOT","PC_GDP","A","1995",-1.32578151331311,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","1996",-0.782113044561651,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","1997",-0.522345190103147,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","1998",-0.724892603915312,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","1999",-1.41688621130526,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2000",-1.4719723314182,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2001",-0.45195770351171,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2002",1.70914637734295,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2003",1.6922813592303,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2004",4.45759308030406,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2005",4.54708239527829,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2006",5.7373446150632,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2007",6.79770653700616,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2008",5.48267974111346,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2009",5.80007153657307,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2010",5.81474849422106,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2011",6.01882269377608,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2012",7.07601893947634,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2013",6.6182277513587,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2014",7.63342283203849,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2015",8.55667364195142,
"DEU","NLNBSECTOR","TOT","PC_GDP","A","2016",8.44275654719519,
