"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1995",1.8087802122,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1996",0.85675647,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1997",1.9105806951,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1998",1.7694725318,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","1999",1.8479124567,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.1913977349,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2001",1.8239036318,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2002",0.0322248454,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2003",-0.7194848113,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2004",0.69765611,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2005",0.8781112304,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2006",3.8758475527,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2007",3.3673299947,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2008",0.8181290768,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2009",-5.5648443467,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2010",3.9476031813,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2011",3.7175298164,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.6859426632,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2013",0.5997086401,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.9266935454,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2015",1.5042741157,
"DEU","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.8553500009,
